Sexo;Municipios;Nacionalidad (español/extranjero);Edad (grandes grupos);Total
Ambos sexos;Total;Total;Total;331.473
Ambos sexos;Total;Total;Menores de 16 años;41.111
Ambos sexos;Total;Total;De 16 a 64 años;203.082
Ambos sexos;Total;Total;De 65 y más años;87.280
Ambos sexos;Total;españoles;Total;319.137
Ambos sexos;Total;españoles;Menores de 16 años;39.404
Ambos sexos;Total;españoles;De 16 a 64 años;193.030
Ambos sexos;Total;españoles;De 65 y más años;86.703
Ambos sexos;Total;extranjeros;Total;12.336
Ambos sexos;Total;extranjeros;Menores de 16 años;1.707
Ambos sexos;Total;extranjeros;De 16 a 64 años;10.052
Ambos sexos;Total;extranjeros;De 65 y más años;577
Ambos sexos;37001-Abusejo;Total;Total;193
Ambos sexos;37001-Abusejo;Total;Menores de 16 años;6
Ambos sexos;37001-Abusejo;Total;De 16 a 64 años;100
Ambos sexos;37001-Abusejo;Total;De 65 y más años;87
Ambos sexos;37001-Abusejo;españoles;Total;189
Ambos sexos;37001-Abusejo;españoles;Menores de 16 años;6
Ambos sexos;37001-Abusejo;españoles;De 16 a 64 años;96
Ambos sexos;37001-Abusejo;españoles;De 65 y más años;87
Ambos sexos;37001-Abusejo;extranjeros;Total;4
Ambos sexos;37001-Abusejo;extranjeros;Menores de 16 años;0
Ambos sexos;37001-Abusejo;extranjeros;De 16 a 64 años;4
Ambos sexos;37001-Abusejo;extranjeros;De 65 y más años;0
Ambos sexos;37002-Agallas;Total;Total;146
Ambos sexos;37002-Agallas;Total;Menores de 16 años;6
Ambos sexos;37002-Agallas;Total;De 16 a 64 años;69
Ambos sexos;37002-Agallas;Total;De 65 y más años;71
Ambos sexos;37002-Agallas;españoles;Total;146
Ambos sexos;37002-Agallas;españoles;Menores de 16 años;6
Ambos sexos;37002-Agallas;españoles;De 16 a 64 años;69
Ambos sexos;37002-Agallas;españoles;De 65 y más años;71
Ambos sexos;37002-Agallas;extranjeros;Total;0
Ambos sexos;37002-Agallas;extranjeros;Menores de 16 años;0
Ambos sexos;37002-Agallas;extranjeros;De 16 a 64 años;0
Ambos sexos;37002-Agallas;extranjeros;De 65 y más años;0
Ambos sexos;37003-Ahigal de los Aceiteros;Total;Total;120
Ambos sexos;37003-Ahigal de los Aceiteros;Total;Menores de 16 años;6
Ambos sexos;37003-Ahigal de los Aceiteros;Total;De 16 a 64 años;58
Ambos sexos;37003-Ahigal de los Aceiteros;Total;De 65 y más años;56
Ambos sexos;37003-Ahigal de los Aceiteros;españoles;Total;119
Ambos sexos;37003-Ahigal de los Aceiteros;españoles;Menores de 16 años;6
Ambos sexos;37003-Ahigal de los Aceiteros;españoles;De 16 a 64 años;57
Ambos sexos;37003-Ahigal de los Aceiteros;españoles;De 65 y más años;56
Ambos sexos;37003-Ahigal de los Aceiteros;extranjeros;Total;1
Ambos sexos;37003-Ahigal de los Aceiteros;extranjeros;Menores de 16 años;0
Ambos sexos;37003-Ahigal de los Aceiteros;extranjeros;De 16 a 64 años;1
Ambos sexos;37003-Ahigal de los Aceiteros;extranjeros;De 65 y más años;0
Ambos sexos;37004-Ahigal de Villarino;Total;Total;34
Ambos sexos;37004-Ahigal de Villarino;Total;Menores de 16 años;3
Ambos sexos;37004-Ahigal de Villarino;Total;De 16 a 64 años;19
Ambos sexos;37004-Ahigal de Villarino;Total;De 65 y más años;12
Ambos sexos;37004-Ahigal de Villarino;españoles;Total;29
Ambos sexos;37004-Ahigal de Villarino;españoles;Menores de 16 años;2
Ambos sexos;37004-Ahigal de Villarino;españoles;De 16 a 64 años;16
Ambos sexos;37004-Ahigal de Villarino;españoles;De 65 y más años;11
Ambos sexos;37004-Ahigal de Villarino;extranjeros;Total;5
Ambos sexos;37004-Ahigal de Villarino;extranjeros;Menores de 16 años;1
Ambos sexos;37004-Ahigal de Villarino;extranjeros;De 16 a 64 años;3
Ambos sexos;37004-Ahigal de Villarino;extranjeros;De 65 y más años;1
Ambos sexos;37005-Alameda de Gardón, La;Total;Total;76
Ambos sexos;37005-Alameda de Gardón, La;Total;Menores de 16 años;3
Ambos sexos;37005-Alameda de Gardón, La;Total;De 16 a 64 años;28
Ambos sexos;37005-Alameda de Gardón, La;Total;De 65 y más años;45
Ambos sexos;37005-Alameda de Gardón, La;españoles;Total;76
Ambos sexos;37005-Alameda de Gardón, La;españoles;Menores de 16 años;3
Ambos sexos;37005-Alameda de Gardón, La;españoles;De 16 a 64 años;28
Ambos sexos;37005-Alameda de Gardón, La;españoles;De 65 y más años;45
Ambos sexos;37005-Alameda de Gardón, La;extranjeros;Total;0
Ambos sexos;37005-Alameda de Gardón, La;extranjeros;Menores de 16 años;0
Ambos sexos;37005-Alameda de Gardón, La;extranjeros;De 16 a 64 años;0
Ambos sexos;37005-Alameda de Gardón, La;extranjeros;De 65 y más años;0
Ambos sexos;37006-Alamedilla, La;Total;Total;138
Ambos sexos;37006-Alamedilla, La;Total;Menores de 16 años;5
Ambos sexos;37006-Alamedilla, La;Total;De 16 a 64 años;75
Ambos sexos;37006-Alamedilla, La;Total;De 65 y más años;58
Ambos sexos;37006-Alamedilla, La;españoles;Total;123
Ambos sexos;37006-Alamedilla, La;españoles;Menores de 16 años;5
Ambos sexos;37006-Alamedilla, La;españoles;De 16 a 64 años;63
Ambos sexos;37006-Alamedilla, La;españoles;De 65 y más años;55
Ambos sexos;37006-Alamedilla, La;extranjeros;Total;15
Ambos sexos;37006-Alamedilla, La;extranjeros;Menores de 16 años;0
